0:0 AM
70:54 turn
70:56 turtle
70:58 twelve
71:1 twenty
71:3 twice
71:5 two
71:7 type
71:9 typhoon
71:12 ugly
71:14 umbrella
71:17 uncle
71:19 under
71:22 underline
71:25 underpass
71:28 understand
71:31 underwear
71:34 unhappy
71:37 uniform
71:40 unique
71:42 universe
71:45 university
71:48 until
71:51 up
71:53 upon
71:55 upper
71:57 upstairs
72:0 us
72:2 use
72:5 useful
72:7 usual
72:10 usually
72:13 vacation
72:16 valley
72:18 valuable
72:20 value
72:22 vegetable
72:25 vendor
72:27 very
72:29 vest
72:31 victory
72:33 video
72:35 village
72:37 vinegar
72:39 violin
72:41 visit
72:43 visitor
72:45 vocabulary
72:47 voice
72:49 volleyball
72:51 vote
72:53 waist
72:55 wait
72:57 waiter
72:59 waitress
73:1 wake
73:3 walk
73:5 walked
73:7 wall
73:10 wallet
73:12 want
73:14 war
73:16 warm
73:18 was
73:20 wash
73:23 waste
73:25 watch
73:27 water
73:30 waterfalls
73:33 watermelon
73:35 wave
73:37 way
73:39 we
73:42 weak
73:44 wear
73:47 weather
73:49 wedding
73:51 week
73:53 weekday
73:55 weekend
73:57 weight
73:59 welcome
74:1 well
74:3 were
74:5 west
74:7 wet
74:9 whale
74:11 what
74:14 wheel
74:16 when
74:18 where
74:21 whether
74:23 which
74:26 while
74:28 white
74:30 who
74:33 whole
74:35 whose
74:37 why
74:39 wide
74:41 wife
74:43 wild
74:46 will
74:48 win
74:50 wind
74:52 window
74:55 windy
74:57 wing
74:59 winner
75:1 winter
75:4 wise
75:6 wish
75:8 with
75:10 without
75:13 wok
75:15 wolf
75:17 woman
75:19 wonderful
75:21 wood
75:23 woods
75:26 word
75:28 work
75:30 workbook
75:32 worker
75:35 world
75:37 worm
75:39 worry
75:41 would
75:43 wound
75:46 wrist
75:48 write
75:50 writer
75:52 wrong
75:54 yard
75:56 yeah
75:58 year
76:1 yell
76:3 yellow
76:5 yes
76:7 yesterday
76:10 yet
76:12 you
76:14 young
76:17 your
76:20 yours
76:23 yourself
76:25 yourselves
76:27 youth
76:29 yummy
76:31 zebra
76:33 zero
76:35 zoo
